Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2021-2022,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,N,N/A,N/A,N,K,12,57,45,78.90%,47,82.50%,37,29,78.40%,31,83.80%,Y
2021-2022,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N,N/A,N/A,N,K,12,64,64,100.00%,64,100.00%,56,56,100.00%,56,100.00%,Y
2021-2022,1,10017,130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,398,Directly funded,Y,9,12,150,113,75.30%,134,89.30%,129,95,73.60%,116,89.90%,Y
2021-2022,1,10017,137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Y,1908,Directly funded,Y,6,8,164,135,82.30%,148,90.20%,164,135,82.30%,148,90.20%,Y
2021-2022,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1284,Directly funded,Y,K,8,202,162,80.20%,177,87.60%,202,162,80.20%,177,87.60%,Y
2021-2022,1,10017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,1881,Directly funded,Y,K,12,514,107,20.80%,124,24.10%,508,107,21.10%,124,24.40%,Y
2021-2022,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,740,Directly funded,Y,P,5,516,321,62.20%,339,65.70%,502,311,62.00%,329,65.50%,Y
2021-2022,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,811,Directly funded,Y,4,12,411,230,56.00%,277,67.40%,401,221,55.10%,268,66.80%,Y
2021-2022,1,10017,138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,2027,Directly funded,Y,K,6,141,69,48.90%,93,66.00%,140,69,49.30%,92,65.70%,Y
2021-2022,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1464,Directly funded,Y,K,8,469,227,48.40%,229,48.80%,459,225,49.00%,227,49.50%,Y
2021-2022,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Y,1707,Directly funded,Y,6,8,108,84,77.80%,90,83.30%,108,84,77.80%,90,83.30%,Y
2021-2022,1,10017,136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,N/A,Y,1888,Locally funded,N,10,12,186,71,38.20%,71,38.20%,25,12,48.00%,12,48.00%,Y
2021-2022,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1383,Directly funded,Y,K,8,349,86,24.60%,92,26.40%,335,84,25.10%,88,26.30%,Y
2021-2022,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1296,Directly funded,Y,K,8,672,139,20.70%,156,23.20%,670,138,20.60%,155,23.10%,Y
2021-2022,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,N,N/A,N/A,N,K,Adult,62,62,100.00%,62,100.00%,43,43,100.00%,43,100.00%,Y
2021-2022,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,N,N/A,N/A,N,P,12,318,318,100.00%,318,100.00%,263,263,100.00%,263,100.00%,Y
2021-2022,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,352,Directly funded,Y,6,12,356,97,27.20%,98,27.50%,356,97,27.20%,98,27.50%,Y
2021-2022,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,1808,311,17.20%,327,18.10%,1743,293,16.80%,308,17.70%,Y
2021-2022,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,9,12,168,53,31.50%,53,31.50%,165,51,30.90%,51,30.90%,Y
2021-2022,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,558,57,10.20%,60,10.80%,543,55,10.10%,58,10.70%,Y
2021-2022,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,8,552,40,7.20%,55,10.00%,552,40,7.20%,55,10.00%,Y
2021-2022,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,436,59,13.50%,59,13.50%,436,59,13.50%,59,13.50%,Y
2021-2022,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,12,1124,331,29.40%,343,30.50%,1111,327,29.40%,339,30.50%,Y
2021-2022,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,570,77,13.50%,80,14.00%,570,77,13.50%,80,14.00%,Y
2021-2022,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,280,49,17.50%,50,17.90%,280,49,17.50%,50,17.90%,Y
2021-2022,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,72,44,61.10%,44,61.10%,45,28,62.20%,28,62.20%,Y
2021-2022,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,819,110,13.40%,115,14.00%,819,110,13.40%,115,14.00%,Y
2021-2022,1,61119,6090047,Alameda,Alameda Unified,Love Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,463,156,33.70%,170,36.70%,451,150,33.30%,164,36.40%,Y
2021-2022,1,61119,139220,Alameda,Alameda Unified,Maya Lin,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,444,89,20.00%,93,20.90%,444,89,20.00%,93,20.90%,Y
2021-2022,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1066,Directly funded,Y,K,12,535,186,34.80%,193,36.10%,528,184,34.80%,191,36.20%,Y
2021-2022,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,9,34.60%,9,34.60%,19,7,36.80%,7,36.80%,Y
2021-2022,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,445,211,47.40%,222,49.90%,432,209,48.40%,219,50.70%,Y
2021-2022,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Y,1181,Directly funded,Y,6,8,370,161,43.50%,211,57.00%,370,161,43.50%,211,57.00%,Y
2021-2022,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,1718,Directly funded,Y,K,5,278,105,37.80%,137,49.30%,278,105,37.80%,137,49.30%,Y
2021-2022,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,613,223,36.40%,235,38.30%,613,223,36.40%,235,38.30%,Y
2021-2022,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,328,104,31.70%,105,32.00%,328,104,31.70%,105,32.00%,Y
2021-2022,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,1187,207,17.40%,307,25.90%,1165,205,17.60%,304,26.10%,Y
2021-2022,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,799,150,18.80%,218,27.30%,799,150,18.80%,218,27.30%,Y
2021-2022,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,547,66,12.10%,96,17.60%,547,66,12.10%,96,17.60%,Y
2021-2022,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,10,12,2,1,50.00%,2,100.00%,1,1,100.00%,1,100.00%,Y
2021-2022,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,442,73,16.50%,105,23.80%,442,73,16.50%,105,23.80%,Y
2021-2022,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,2,22.20%,2,22.20%,9,2,22.20%,2,22.20%,Y
2021-2022,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,528,160,30.30%,209,39.60%,497,154,31.00%,200,40.20%,Y
2021-2022,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,381,89,23.40%,96,25.20%,381,89,23.40%,96,25.20%,Y
2021-2022,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,3222,845,26.20%,935,29.00%,3147,813,25.80%,902,28.70%,Y
2021-2022,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,10,12,52,40,76.90%,41,78.80%,49,37,75.50%,38,77.60%,Y
2021-2022,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,296,67,22.60%,73,24.70%,287,64,22.30%,70,24.40%,Y
2021-2022,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,281,75,26.70%,83,29.50%,281,75,26.70%,83,29.50%,Y
2021-2022,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,258,80,31.00%,83,32.20%,258,80,31.00%,83,32.20%,Y
2021-2022,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,6,8,468,252,53.80%,288,61.50%,468,252,53.80%,288,61.50%,Y
2021-2022,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,473,142,30.00%,149,31.50%,461,135,29.30%,142,30.80%,Y
2021-2022,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,6,8,941,218,23.20%,241,25.60%,941,218,23.20%,241,25.60%,Y
2021-2022,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,16,34.80%,16,34.80%,30,9,30.00%,9,30.00%,Y
2021-2022,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary at West Campus,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,236,70,29.70%,75,31.80%,236,70,29.70%,75,31.80%,Y
2021-2022,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,397,91,22.90%,98,24.70%,390,90,23.10%,97,24.90%,Y
2021-2022,1,61143,6090252,Alameda,Berkeley Unified,Ruth Acty Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,387,70,18.10%,85,22.00%,382,69,18.10%,84,22.00%,Y
2021-2022,1,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,412,114,27.70%,122,29.60%,407,114,28.00%,122,30.00%,Y
2021-2022,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,339,111,32.70%,116,34.20%,339,111,32.70%,116,34.20%,Y
2021-2022,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,388,90,23.20%,100,25.80%,380,89,23.40%,99,26.10%,Y
2021-2022,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,6,8,600,141,23.50%,155,25.80%,600,141,23.50%,155,25.80%,Y
2021-2022,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,1266,270,21.30%,287,22.70%,1266,270,21.30%,287,22.70%,Y
2021-2022,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,468,143,30.60%,151,32.30%,447,140,31.30%,148,33.10%,Y
2021-2022,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2699,449,16.60%,491,18.20%,2663,440,16.50%,482,18.10%,Y
2021-2022,1,61150,133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,12,336,92,27.40%,97,28.90%,334,92,27.50%,97,29.00%,Y
2021-2022,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,432,62,14.40%,72,16.70%,432,62,14.40%,72,16.70%,Y
2021-2022,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,759,151,19.90%,165,21.70%,759,151,19.90%,165,21.70%,Y
2021-2022,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,571,57,10.00%,72,12.60%,537,55,10.20%,70,13.00%,Y
2021-2022,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,368,30,8.20%,32,8.70%,368,30,8.20%,32,8.70%,Y
2021-2022,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,461,112,24.30%,124,26.90%,461,112,24.30%,124,26.90%,Y
2021-2022,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,9,56.30%,9,56.30%,12,7,58.30%,7,58.30%,Y
2021-2022,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,124,22,17.70%,23,18.50%,124,22,17.70%,23,18.50%,Y
2021-2022,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,582,85,14.60%,85,14.60%,582,85,14.60%,85,14.60%,Y
2021-2022,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,102,39,38.20%,41,40.20%,93,36,38.70%,38,40.90%,Y
2021-2022,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,N,N/A,N/A,N,9,12,24,2,8.30%,2,8.30%,1,1,100.00%,1,100.00%,Y
2021-2022,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,475,135,28.40%,151,31.80%,459,132,28.80%,148,32.20%,Y
2021-2022,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,360,41,11.40%,51,14.20%,360,41,11.40%,51,14.20%,Y
2021-2022,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,8,437,268,61.30%,281,64.30%,426,264,62.00%,277,65.00%,Y
2021-2022,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,176,97,55.10%,102,58.00%,170,93,54.70%,98,57.60%,Y
2021-2022,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2522,349,13.80%,371,14.70%,2499,344,13.80%,366,14.60%,Y
2021-2022,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,741,65,8.80%,67,9.00%,731,65,8.90%,67,9.20%,Y
2021-2022,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,587,200,34.10%,209,35.60%,569,200,35.10%,209,36.70%,Y
2021-2022,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,510,60,11.80%,60,11.80%,493,59,12.00%,59,12.00%,Y
2021-2022,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,331,169,51.10%,182,55.00%,317,168,53.00%,181,57.10%,Y
2021-2022,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,925,211,22.80%,233,25.20%,925,211,22.80%,233,25.20%,Y
2021-2022,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,152,Locally funded,N,K,12,402,151,37.60%,171,42.50%,385,146,37.90%,163,42.30%,Y
2021-2022,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,384,124,32.30%,141,36.70%,384,124,32.30%,141,36.70%,Y
2021-2022,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,905,65,7.20%,68,7.50%,905,65,7.20%,68,7.50%,Y
2021-2022,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,1082,98,9.10%,101,9.30%,1061,98,9.20%,101,9.50%,Y
2021-2022,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,1078,385,35.70%,422,39.10%,1078,385,35.70%,422,39.10%,Y
2021-2022,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,633,184,29.10%,199,31.40%,623,182,29.20%,197,31.60%,Y
2021-2022,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,409,92,22.50%,99,24.20%,392,89,22.70%,96,24.50%,Y
2021-2022,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,2315,334,14.40%,366,15.80%,2288,329,14.40%,359,15.70%,Y
2021-2022,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,611,140,22.90%,144,23.60%,600,139,23.20%,143,23.80%,Y
2021-2022,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,2,660,66,10.00%,69,10.50%,638,63,9.90%,66,10.30%,Y
2021-2022,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,489,142,29.00%,164,33.50%,468,141,30.10%,163,34.80%,Y
2021-2022,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,1314,408,31.10%,462,35.20%,1270,394,31.00%,448,35.30%,Y
2021-2022,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,370,37,10.00%,40,10.80%,370,37,10.00%,40,10.80%,Y
2021-2022,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,624,55,8.80%,56,9.00%,596,54,9.10%,55,9.20%,Y
2021-2022,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,1527,200,13.10%,211,13.80%,1527,200,13.10%,211,13.80%,Y
2021-2022,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,651,102,15.70%,106,16.30%,650,101,15.50%,105,16.20%,Y
2021-2022,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,574,51,8.90%,52,9.10%,574,51,8.90%,52,9.10%,Y
2021-2022,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,474,26,5.50%,28,5.90%,474,26,5.50%,28,5.90%,Y
2021-2022,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,1971,129,6.50%,138,7.00%,1958,128,6.50%,137,7.00%,Y
2021-2022,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,487,49,10.10%,53,10.90%,487,49,10.10%,53,10.90%,Y
2021-2022,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,575,56,9.70%,61,10.60%,566,54,9.50%,59,10.40%,Y
2021-2022,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,15,28.30%,15,28.30%,41,15,36.60%,15,36.60%,Y
2021-2022,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,441,95,21.50%,99,22.40%,441,95,21.50%,99,22.40%,Y
2021-2022,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,621,112,18.00%,115,18.50%,621,112,18.00%,115,18.50%,Y
2021-2022,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,876,97,11.10%,100,11.40%,867,97,11.20%,100,11.50%,Y
2021-2022,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,669,116,17.30%,119,17.80%,663,114,17.20%,117,17.60%,Y
2021-2022,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,155,89,57.40%,94,60.60%,124,69,55.60%,72,58.10%,Y
2021-2022,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,481,78,16.20%,84,17.50%,481,78,16.20%,84,17.50%,Y
2021-2022,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,1302,190,14.60%,196,15.10%,1302,190,14.60%,196,15.10%,Y
2021-2022,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,527,95,18.00%,101,19.20%,527,95,18.00%,101,19.20%,Y
2021-2022,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,474,107,22.60%,115,24.30%,472,107,22.70%,114,24.20%,Y
